filename,Transcript
Speaker36_m_nn_utt01.wav,aku libur sedina merga ana banjir
Speaker36_m_nn_utt02.wav,aku pengin mangan dhawet nang omah
Speaker36_m_nn_utt03.wav,aku kara adhiku mangan sega goreng
Speaker36_m_nn_utt04.wav,aku tuku buku nang sekolahan
Speaker36_m_nn_utt05.wav,aku mung duwe panuwun supaya anakku pinter lan bekti
Speaker36_m_nn_utt06.wav,ibu tumbas lisah
Speaker36_m_nn_utt07.wav,ibu wungu sare
Speaker36_m_nn_utt08.wav,ibu mbopong bayi
Speaker36_m_nn_utt09.wav,ibu dhahar sekul
Speaker36_m_nn_utt10.wav,ibu saweg mirsani pawarta basa jawa ing tivi
Speaker36_m_nn_utt11.wav,bapak lenggah ing ngisor wit pelem
Speaker36_m_nn_utt12.wav,bapak minggah wit rambutan
Speaker36_m_nn_utt13.wav,bapak maculi sawah ing buri omahku
Speaker36_m_nn_utt14.wav,bapak lagi makarya nang omahe pakdhe
Speaker36_m_nn_utt15.wav,adhiku kesiram wedang panas banjur nangis
Speaker36_m_nn_utt16.wav,adhiku ngresiki kamar supaya rapi
Speaker36_m_nn_utt17.wav,adhiku maos koran wingi sonten
Speaker36_m_nn_utt18.wav,kancaku maca buku nang perpustakaan
Speaker36_m_nn_utt19.wav,kancaku nang sekolahan nulis aksara jawa sregep banget
Speaker36_m_nn_utt20.wav,kancaku sinau basa jawa nang sekolahan sregep banget
Speaker36_m_nn_utt21.wav,rambutku tak potong cendhak ben kaya tentara
Speaker36_m_nn_utt22.wav,wingi bengi sumuk banget
Speaker36_m_nn_utt23.wav,lare sakit menika boten saged tilem
Speaker36_m_nn_utt24.wav,piyambakipun tumbas rasukan ijem
Speaker36_m_nn_utt25.wav,klambine mambu ora enak
Speaker36_m_nn_utt26.wav,lintang kae pating kerlip
Speaker36_m_nn_utt27.wav,aja gelem yen dialem wong
Speaker36_m_nn_utt28.wav,aja seneng niru tindak kang ora prayoga
Speaker36_m_nn_utt29.wav,kula badhe tindak dhateng sekolah rumiyin
Speaker36_m_nn_utt30.wav,kula nyuwun idin nglinggar sakedhap
Speaker47_m_nn_utt01.wav,pripun kabare
Speaker47_m_nn_utt02.wav,kabar kula sae sae kemawon
Speaker47_m_nn_utt03.wav,matur nuwun sanget
Speaker47_m_nn_utt04.wav,angsal kula nyuwun pirsa
Speaker47_m_nn_utt05.wav,nyuwun tulung dibantu
Speaker47_m_nn_utt06.wav,saged dibaleni malih
Speaker47_m_nn_utt07.wav,nyuwun pangapunten kula boten ngertos
Speaker47_m_nn_utt08.wav,wonten pundi kamar mandinipun
Speaker47_m_nn_utt09.wav,pinten regine niki
Speaker47_m_nn_utt10.wav,kula badhe pesen setunggal porsi
Speaker47_m_nn_utt11.wav,ngantos sekedhap
Speaker47_m_nn_utt12.wav,kula manggen wonten ing bandung
Speaker47_m_nn_utt13.wav,kula nembe nyambut damel
Speaker47_m_nn_utt14.wav,kula badhe dhahar sekul
Speaker47_m_nn_utt15.wav,kula ngunjuk teh anget
Speaker47_m_nn_utt16.wav,dinten niki cuacanipun cerah
Speaker47_m_nn_utt17.wav,kula wungu tilem jam gangsal enjang
Speaker47_m_nn_utt18.wav,kula badhe tindak dhateng peken
Speaker47_m_nn_utt19.wav,kula nembe maos buku
Speaker47_m_nn_utt20.wav,mbenjang dinten minggu
Speaker47_m_nn_utt21.wav,ngantos kepanggih malih
Speaker47_m_nn_utt22.wav,kula badhe tindak dhateng perpustakaan kangge ngampil buku pelajaran
Speaker47_m_nn_utt23.wav,ampun kesupen nggarap tugas griya ingkang dipun paringaken bapak guru
Speaker47_m_nn_utt24.wav,mbenjang enjang kita kedah wungu langkung gasik supados boten telat
Speaker47_m_nn_utt25.wav,punapa panjenengan sampun dhahar siyang wonten ing kantin sisih mrika
Speaker47_m_nn_utt26.wav,reginipun awis sanget punapa saged dipun tawar sakedhik malih
Speaker47_m_nn_utt27.wav,monggo pinarak wonten ing kursi ingkang sampun disediakaken ting ruang tamu
Speaker47_m_nn_utt28.wav,amargi jawah deres kula boten saged dugi dhateng acara kasebat
Speaker47_m_nn_utt29.wav,kula saweg sinau basa jawi alus kangge tugas kuliah kula
Speaker47_m_nn_utt30.wav,kula saweg ngentosi kanca wonten ing ngajeng gerbang sekolah wau
Speaker66_m_nn_utt1.wav,sugeng enjing kulo badhe dhahar
Speaker66_m_nn_utt10.wav,kepripun kabaripun panjenengan
Speaker66_m_nn_utt11.wav,dinten meniko dinten selasa
Speaker66_m_nn_utt12.wav,kulo badhe nyuwun pirsa
Speaker66_m_nn_utt13.wav,menawi panjenengan saged kulo suwun tulung
Speaker66_m_nn_utt14.wav,sampun jam pitu sonten
Speaker66_m_nn_utt15.wav,bapak sampun kundur saking kantor
Speaker66_m_nn_utt16.wav,ibu nemb waosan koran
Speaker66_m_nn_utt17.wav,kulo wangsul malih benjing njing
Speaker66_m_nn_utt18.wav,kulo tumbas setunggal kembang
Speaker66_m_nn_utt19.wav,kula taksih sinau wonten griyo
Speaker66_m_nn_utt2.wav,mangga pinarak rumiyin ing ngriki
Speaker66_m_nn_utt20.wav,buku meniko inggil sanget reginipun
Speaker66_m_nn_utt21.wav,panjenengan badh tindak dateng pundi
Speaker66_m_nn_utt22.wav,dalemipun adoh saking sekolahan
Speaker66_m_nn_utt23.wav,kulo mangkat sekolah numpak pit
Speaker66_m_nn_utt24.wav,dinten sabtu benjing prei
Speaker66_m_nn_utt25.wav,kula gadhah r kaman audio kalih
Speaker66_m_nn_utt26.wav,kulo badhe siram rumiyin
Speaker66_m_nn_utt27.wav,njing meniko hawane asrep
Speaker66_m_nn_utt28.wav,menawi panjenengan kerso dhahar nopo
Speaker66_m_nn_utt29.wav,kula ajeng tilem mawon
