filename,target,prediction_scratch,prediction_finetune
speaker01_m_nn_utt01.wav,speaker m nn utt,speaker m n utt,speaker  nut
speaker01_m_nn_utt01.wav,speaker m nn utt,speaker m n utt,speaker  nut
speaker01_m_nn_utt02.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt02.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt03.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt03.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt04.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt04.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt05.wav,speaker m nn utt,speaker m n utt,speaker n ut
speaker01_m_nn_utt05.wav,speaker m nn utt,speaker m n utt,speaker n ut
speaker01_m_nn_utt06.wav,speaker m nn utt,speaker m n utt,speaker  nut
speaker01_m_nn_utt06.wav,speaker m nn utt,speaker m n utt,speaker  nut
speaker01_m_nn_utt07.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt07.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt08.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt08.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt09.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt09.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt10.wav,speaker m nn utt,speaker m n utt,speaker n ut
speaker01_m_nn_utt10.wav,speaker m nn utt,speaker m n utt,speaker n ut
speaker01_m_nn_utt11.wav,speaker m nn utt,speaker m n utt,speaker n ut
speaker01_m_nn_utt11.wav,speaker m nn utt,speaker m n utt,speaker n ut
speaker01_m_nn_utt12.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt12.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt13.wav,speaker m nn utt,speaker m n utt,speaker n ut
speaker01_m_nn_utt13.wav,speaker m nn utt,speaker m n utt,speaker n ut
speaker01_m_nn_utt14.wav,speaker m nn utt,speaker m n utt,speaker  nut
speaker01_m_nn_utt14.wav,speaker m nn utt,speaker m n utt,speaker  nut
speaker01_m_nn_utt15.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt15.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt16.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt16.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt17.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt17.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt18.wav,speaker m nn utt,speaker m n utt,speaker  nut
speaker01_m_nn_utt18.wav,speaker m nn utt,speaker m n utt,speaker  nut
speaker01_m_nn_utt19.wav,speaker m nn utt,speaker m n utt,speaker  nut
speaker01_m_nn_utt19.wav,speaker m nn utt,speaker m n utt,speaker  nut
speaker01_m_nn_utt20.wav,speaker m nn utt,speaker m n utt,speaker  n t
speaker01_m_nn_utt20.wav,speaker m nn utt,speaker m n utt,speaker  n t
speaker01_m_nn_utt21.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt21.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt22.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt22.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt23.wav,speaker m nn utt,speaker m n utt,speaker  nut
speaker01_m_nn_utt23.wav,speaker m nn utt,speaker m n utt,speaker  nut
speaker01_m_nn_utt24.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt24.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt25.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt25.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt26.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt26.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt27.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt27.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt28.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt28.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt29.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt29.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt30.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker01_m_nn_utt30.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt01.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt01.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt02.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt02.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt03.wav,speaker m nn utt,speaker m n utt,speaker  nut
speaker05_f_nn_utt03.wav,speaker m nn utt,speaker m n utt,speaker  nut
speaker05_f_nn_utt04.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt04.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt05.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt05.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt06.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt06.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt07.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt07.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt08.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt08.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt09.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt09.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt10.wav,speaker m nn utt,speaker m n utt,speaker n ut
speaker05_f_nn_utt10.wav,speaker m nn utt,speaker m n utt,speaker n ut
speaker05_f_nn_utt11.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt11.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt12.wav,speaker m nn utt,speaker m n utt,speaker   n ut
speaker05_f_nn_utt12.wav,speaker m nn utt,speaker m n utt,speaker   n ut
speaker05_f_nn_utt13.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt13.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt14.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt14.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt15.wav,speaker m nn utt,speaker m n utt,speaker  nut
speaker05_f_nn_utt15.wav,speaker m nn utt,speaker m n utt,speaker  nut
speaker05_f_nn_utt16.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt16.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt17.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt17.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt18.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt18.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt19.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt19.wav,speaker m nn utt,speaker m n utt,speaker  n ut
speaker05_f_nn_utt20.wav,speaker m nn utt,speaker m n utt,speaker  n t
