SentenceID,Transcript,Device
speaker01_m_nn_utt01,aku libur sedina merga ana banjir,Samsung M15
speaker01_m_nn_utt02,aku pengin mangan dhawet nang omah,Samsung M15
speaker01_m_nn_utt03,aku kara adhiku mangan sega goreng,Samsung M15
speaker01_m_nn_utt04,aku tuku buku nang sekolahan,Samsung M15
speaker01_m_nn_utt05,aku mung duwe panuwun supaya anakku pinter lan bekti,Samsung M15
speaker01_m_nn_utt06,ibu tumbas lisah,Samsung M15
speaker01_m_nn_utt07,ibu wungu sare,Samsung M15
speaker01_m_nn_utt08,ibu mbopong bayi,Samsung M15
speaker01_m_nn_utt09,ibu dhahar sekul,Samsung M15
speaker01_m_nn_utt10,ibu saweg mirsani pawarta basa jawa ing tivi,Samsung M15
speaker01_m_nn_utt11,bapak lenggah ing ngisor wit pelem,Samsung M15
speaker01_m_nn_utt12,bapak minggah wit rambutan,Samsung M15
speaker01_m_nn_utt13,bapak maculi sawah ing buri omahku,Samsung M15
speaker01_m_nn_utt14,bapak lagi makarya nang omahe pakdhe,Samsung M15
speaker01_m_nn_utt15,adhiku kesiram wedang panas banjur nangis,Samsung M15
speaker01_m_nn_utt16,adhiku ngresiki kamar supaya rapi,Samsung M15
speaker01_m_nn_utt17,adhiku maos koran wingi sonten,Samsung M15
speaker01_m_nn_utt18,kancaku maca buku nang perpustakaan,Samsung M15
speaker01_m_nn_utt19,kancaku nang sekolahan nulis aksara jawa sregep banget,Samsung M15
speaker01_m_nn_utt20,kancaku sinau basa jawa nang sekolahan sregep banget,Samsung M15
speaker01_m_nn_utt21,rambutku tak potong cendhak ben kaya tentara,Samsung M15
speaker01_m_nn_utt22,wingi bengi sumuk banget,Samsung M15
speaker01_m_nn_utt23,lare sakit menika boten saged tilem,Samsung M15
speaker01_m_nn_utt24,piyambakipun tumbas rasukan ijem,Samsung M15
speaker01_m_nn_utt25,klambine mambu ora enak,Samsung M15
speaker01_m_nn_utt26,lintang kae pating kerlip,Samsung M15
speaker01_m_nn_utt27,aja gelem yen dialem wong,Samsung M15
speaker01_m_nn_utt28,aja seneng niru tindak kang ora prayoga,Samsung M15
speaker01_m_nn_utt29,kula badhe tindak dhateng sekolah rumiyin,Samsung M15
speaker01_m_nn_utt30,kula nyuwun idin nglinggar sakedhap,Samsung M15
speaker02_m_nn_utt01,pripun kabare,
speaker02_m_nn_utt02,kabar kula sae sae kemawon,
speaker02_m_nn_utt03,matur nuwun sanget,
speaker02_m_nn_utt04,angsal kula nyuwun pirsa,
speaker02_m_nn_utt05,nyuwun tulung dibantu,
speaker02_m_nn_utt06,saged dibaleni malih,
speaker02_m_nn_utt07,nyuwun pangapunten kula boten ngertos,
speaker02_m_nn_utt08,wonten pundi kamar mandinipun,
speaker02_m_nn_utt09,pinten regine niki,
speaker02_m_nn_utt10,kula badhe pesen setunggal porsi,
speaker02_m_nn_utt11,ngantos sekedhap,
speaker02_m_nn_utt12,kula manggen wonten ing bandung,
speaker02_m_nn_utt13,kula nembe nyambut damel,
speaker02_m_nn_utt14,kula badhe dhahar sekul,
speaker02_m_nn_utt15,kula ngunjuk teh anget,
speaker02_m_nn_utt16,dinten niki cuacanipun cerah,
speaker02_m_nn_utt17,kula wungu tilem jam gangsal enjang,
speaker02_m_nn_utt18,kula badhe tindak dhateng peken,
speaker02_m_nn_utt19,kula nembe maos buku,
speaker02_m_nn_utt20,mbenjang dinten minggu,
speaker02_m_nn_utt21,ngantos kepanggih malih,
